,Timestamp,P1,P2,P3,P4
0,0,3000,1500,1500,800
1,1,3000,1500,1500,800
2,2,3000,1500,1500,800
3,3,3000,1500,1500,800
4,4,3000,1500,1500,800
5,5,3000,1500,1500,800
6,6,3000,1500,1500,800
7,7,3000,1500,1500,800
8,8,3000,1500,1500,800
9,9,3000,1500,1500,800
10,10,3000,1500,1500,800
11,11,3000,1500,1500,800
12,12,3000,1500,1500,800
13,13,3000,1500,1500,800
14,14,3000,1500,1500,800
15,15,3000,1500,1500,800
16,16,3000,1500,1500,800
17,17,3000,1500,1500,800
18,18,3000,1500,1500,800
19,19,3000,1500,1500,800
20,20,3000,1500,1500,800
21,21,3000,1500,1500,800
22,22,3000,1500,1500,800
23,23,3000,1500,1500,800
24,24,3000,1500,1500,800
25,25,3000,1500,1500,800
26,26,3000,1500,1500,800
27,27,3000,1500,1500,800
28,28,3000,1500,1500,800
29,29,3000,1500,1500,800
30,30,3000,1500,1500,800
31,31,3000,1500,1500,800
32,32,3000,1500,1500,800
33,33,3000,1500,1500,800
34,34,3000,1500,1500,800
35,35,3000,1500,1500,800
36,36,3000,1500,1500,800
37,37,3000,1500,1500,800
38,38,3000,1500,1500,800
39,39,3000,1500,1500,800
40,40,3000,1500,1500,800
41,41,3000,1500,1500,800
42,42,3000,1500,1500,800
43,43,3000,1500,1500,800
44,44,3000,1500,1500,800
45,45,3000,1500,1500,800
46,46,3000,1500,1500,800
47,47,3000,1500,1500,800
48,48,3000,1500,1500,800
49,49,3000,1500,1500,800
50,50,3000,1500,1500,800
51,51,3000,1500,1500,800
52,52,3000,1500,1500,800
53,53,3000,1500,1500,800
54,54,3000,1500,1500,800
55,55,3000,1500,1500,800
56,56,3000,1500,1500,800
57,57,3000,1500,1500,800
58,58,3000,1500,1500,800
59,59,3000,1500,1500,800
60,60,3000,1500,1500,800
61,61,3000,1500,1500,800
62,62,3000,1500,1500,800
63,63,3000,1500,1500,800
64,64,3000,1500,1500,800
65,65,3000,1500,1500,800
66,66,3000,1500,1500,800
67,67,3000,1500,1500,800
68,68,3000,1500,1500,800
69,69,3000,1500,1500,800
70,70,3000,1500,1500,800
71,71,3000,1500,1500,800
72,72,3000,1500,1500,800
73,73,3000,1500,1500,800
74,74,3000,1500,1500,800
75,75,3000,1500,1500,800
76,76,3000,1500,1500,800
77,77,3000,1500,1500,800
78,78,3000,1500,1500,800
79,79,3000,1500,1500,800
80,80,3000,1500,1500,800
81,81,3000,1500,1500,800
82,82,3000,1500,1500,800
83,83,3000,1500,1500,800
84,84,3000,1500,1500,800
85,85,3000,1500,1500,800
86,86,3000,1500,1500,800
87,87,3000,1500,1500,800
88,88,3000,1500,1500,800
89,89,3000,1500,1500,800
90,90,3000,1500,1500,800
91,91,3000,1500,1500,800
92,92,3000,1500,1500,800
93,93,3000,1500,1500,800
94,94,3000,1500,1500,800
95,95,3000,1500,1500,800
96,96,3000,1500,1500,800
97,97,3000,1500,1500,800
98,98,3000,1500,1500,800
99,99,3000,1500,1500,800
100,100,3000,1500,1500,800
101,101,3000,1500,1500,800
102,102,3000,1500,1500,800
103,103,3000,1500,1500,800
104,104,3000,1500,1500,800
105,105,3000,1500,1500,800
106,106,3000,1500,1500,800
107,107,3000,1500,1500,800
108,108,3000,1500,1500,800
109,109,3000,1500,1500,800
110,110,3000,1500,1500,800
111,111,3000,1500,1500,800
112,112,3000,1500,1500,800
113,113,3000,1500,1500,800
114,114,3000,1500,1500,800
115,115,3000,1500,1500,800
116,116,3000,1500,1500,800
117,117,3000,1500,1500,800
118,118,3000,1500,1500,800
119,119,3000,1500,1500,800
120,120,3000,1500,1500,800
121,121,3000,1500,1500,800
122,122,3000,1500,1500,800
123,123,3000,1500,1500,800
124,124,3000,1500,1500,800
125,125,3000,1500,1500,800
126,126,3000,1500,1500,800
127,127,3000,1500,1500,800
128,128,3000,1500,1500,800
129,129,3000,1500,1500,800
130,130,3000,1500,1500,800
131,131,3000,1500,1500,800
132,132,3000,1500,1500,800
133,133,3000,1500,1500,800
134,134,3000,1500,1500,800
135,135,3000,1500,1500,800
136,136,3000,1500,1500,800
137,137,3000,1500,1500,800
138,138,3000,1500,1500,800
139,139,3000,1500,1500,800
140,140,3000,1500,1500,800
141,141,3000,1500,1500,800
142,142,3000,1500,1500,800
143,143,3000,1500,1500,800
144,144,3000,1500,1500,800
145,145,3000,1500,1500,800
146,146,3000,1500,1500,800
147,147,3000,1500,1500,800
148,148,3000,1500,1500,800
149,149,3000,1500,1500,800
150,150,3000,1500,1500,800
151,151,3000,1500,1500,800
152,152,3000,1500,1500,800
153,153,3000,1500,1500,800
154,154,3000,1500,1500,800
155,155,3000,1500,1500,800
156,156,3000,1500,1500,800
157,157,3000,1500,1500,800
158,158,3000,1500,1500,800
159,159,3000,1500,1500,800
160,160,3000,1500,1500,800
161,161,3000,1500,1500,800
162,162,3000,1500,1500,800
163,163,3000,1500,1500,800
164,164,3000,1500,1500,800
165,165,3000,1500,1500,800
166,166,3000,1500,1500,800
167,167,3000,1500,1500,800
168,168,3000,1500,1500,800
169,169,3000,1500,1500,800
170,170,3000,1500,1500,800
171,171,3000,1500,1500,800
172,172,3000,1500,1500,800
173,173,3000,1500,1500,800
174,174,3000,1500,1500,800
175,175,3000,1500,1500,800
176,176,3000,1500,1500,800
177,177,3000,1500,1500,800
