,Timestamp,P1,P2,P3,P4
0,378000,25000,15000,15000,6000
1,982800,25000,15000,15000,6000
2,1587600,25000,15000,15000,6000
3,2192400,25000,15000,15000,6000
4,2797200,25000,15000,15000,6000
5,3402000,25000,15000,15000,6000
6,4006800,25000,15000,15000,6000
7,4611600,25000,15000,15000,6000
8,5216400,25000,15000,15000,6000
9,5821200,25000,15000,15000,6000
10,6426000,25000,15000,15000,6000
11,7030800,25000,15000,15000,6000
12,7635600,25000,15000,15000,6000
13,8240400,25000,15000,15000,6000
14,8845200,25000,15000,15000,6000
15,9450000,25000,15000,15000,6000
16,10054800,25000,15000,15000,6000
17,10659600,25000,15000,15000,6000
18,11264400,25000,15000,15000,6000
19,11869200,25000,15000,15000,6000
20,12474000,25000,15000,15000,6000
21,13078800,25000,15000,15000,6000
22,13683600,25000,15000,15000,6000
23,14288400,25000,15000,15000,6000
24,14893200,25000,15000,15000,6000
25,15498000,25000,15000,15000,6000
26,16102800,25000,15000,15000,6000
27,16707600,25000,15000,15000,6000
28,17312400,25000,15000,15000,6000
29,17917200,25000,15000,15000,6000
30,18522000,25000,15000,15000,6000
31,19126800,25000,15000,15000,6000
32,19731600,25000,15000,15000,6000
33,20336400,25000,15000,15000,6000
34,20941200,25000,15000,15000,6000
35,21546000,25000,15000,15000,6000
36,22150800,25000,15000,15000,6000
37,22755600,25000,15000,15000,6000
38,23360400,25000,15000,15000,6000
39,23965200,25000,15000,15000,6000
40,24570000,25000,15000,15000,6000
41,25174800,25000,15000,15000,6000
42,25779600,25000,15000,15000,6000
43,26384400,25000,15000,15000,6000
44,26989200,25000,15000,15000,6000
45,27594000,25000,15000,15000,6000
46,28198800,25000,15000,15000,6000
47,28803600,25000,15000,15000,6000
48,29408400,25000,15000,15000,6000
49,30013200,25000,15000,15000,6000
50,30618000,25000,15000,15000,6000
51,31222800,25000,15000,15000,6000
