,Timestamp,P1,P2,P3,P4
0,378000,400,600,500,300
1,982800,400,600,500,300
2,1587600,400,600,500,300
3,2192400,400,600,500,300
4,2797200,400,600,500,300
5,3402000,400,600,500,300
6,4006800,400,600,500,300
7,4611600,400,600,500,300
8,5216400,400,600,500,300
9,5821200,400,600,500,300
10,6426000,400,600,500,300
11,7030800,400,600,500,300
12,7635600,400,600,500,300
13,8240400,400,600,500,300
14,8845200,400,600,500,300
15,9450000,400,600,500,300
16,10054800,400,600,500,300
17,10659600,400,600,500,300
18,11264400,400,600,500,300
19,11869200,400,600,500,300
20,12474000,400,600,500,300
21,13078800,400,600,500,300
22,13683600,400,600,500,300
23,14288400,400,600,500,300
24,14893200,400,600,500,300
25,15498000,400,600,500,300
26,16102800,400,600,500,300
27,16707600,400,600,500,300
28,17312400,400,600,500,300
29,17917200,400,600,500,300
30,18522000,400,600,500,300
31,19126800,400,600,500,300
32,19731600,400,600,500,300
33,20336400,400,600,500,300
34,20941200,400,600,500,300
35,21546000,400,600,500,300
36,22150800,400,600,500,300
37,22755600,400,600,500,300
38,23360400,400,600,500,300
39,23965200,400,600,500,300
40,24570000,400,600,500,300
41,25174800,400,600,500,300
42,25779600,400,600,500,300
43,26384400,400,600,500,300
44,26989200,400,600,500,300
45,27594000,400,600,500,300
46,28198800,400,600,500,300
47,28803600,400,600,500,300
48,29408400,400,600,500,300
49,30013200,400,600,500,300
50,30618000,400,600,500,300
51,31222800,400,600,500,300
